# y+ ()       
# Time        	patch         	min           	max           	average       
5.25          	lowerWall	5.946191e-01	8.373624e+01	2.430718e+01
5.3           	rightWall	5.636883e-01	4.516181e+01	1.400427e+01
5.3           	leftWall	3.709977e-01	2.481506e+01	7.752519e+00
5.3           	lowerWall	4.255369e-01	8.630546e+01	2.422259e+01
5.35          	rightWall	5.191852e-01	4.549205e+01	1.418881e+01
5.35          	leftWall	3.986577e-01	2.481270e+01	7.755904e+00
5.35          	lowerWall	5.455130e-01	8.841007e+01	2.421740e+01
5.4           	rightWall	4.745616e-01	4.574966e+01	1.442425e+01
5.4           	leftWall	3.919441e-01	2.497670e+01	7.726186e+00
5.4           	lowerWall	7.698840e-01	5.950546e+01	2.424714e+01
5.45          	rightWall	4.171450e-01	4.586586e+01	1.453884e+01
5.45          	leftWall	3.983345e-01	2.528086e+01	7.719219e+00
5.45          	lowerWall	1.085897e+00	7.748837e+01	2.465752e+01
5.5           	rightWall	3.943751e-01	4.587585e+01	1.470004e+01
5.5           	leftWall	5.425226e-01	2.566308e+01	7.732273e+00
5.5           	lowerWall	9.998286e-01	9.287621e+01	2.577021e+01
5.55          	rightWall	3.365529e-01	4.580437e+01	1.476360e+01
5.55          	leftWall	6.513354e-01	2.606993e+01	7.755748e+00
5.55          	lowerWall	1.215997e+00	9.766083e+01	2.634005e+01
5.6           	rightWall	2.746711e-01	4.569040e+01	1.477962e+01
5.6           	leftWall	6.325921e-01	2.648773e+01	7.778551e+00
5.6           	lowerWall	1.841461e+00	9.484493e+01	2.674479e+01
5.65          	rightWall	2.097251e-01	4.553662e+01	1.479446e+01
5.65          	leftWall	6.161687e-01	2.685377e+01	7.801463e+00
5.65          	lowerWall	1.677174e+00	8.257701e+01	2.717737e+01
5.7           	rightWall	2.207024e-01	4.533508e+01	1.473234e+01
5.7           	leftWall	6.072278e-01	2.713987e+01	7.940136e+00
5.7           	lowerWall	1.426057e+00	1.037891e+02	2.830452e+01
5.75          	rightWall	4.934268e-01	4.500397e+01	1.462919e+01
5.75          	leftWall	5.991208e-01	2.732855e+01	8.016648e+00
5.75          	lowerWall	1.100128e+00	1.072350e+02	2.928665e+01
5.8           	rightWall	5.090485e-01	4.481024e+01	1.456162e+01
5.8           	leftWall	5.813899e-01	2.740882e+01	8.018392e+00
5.8           	lowerWall	5.990958e-01	1.087460e+02	3.007806e+01
5.85          	rightWall	5.117334e-01	4.456542e+01	1.441213e+01
5.85          	leftWall	5.539187e-01	2.739546e+01	8.010008e+00
5.85          	lowerWall	8.257923e-01	1.097319e+02	3.089324e+01
5.9           	rightWall	5.378733e-01	4.428974e+01	1.427381e+01
5.9           	leftWall	1.262407e-01	2.739831e+01	8.047537e+00
5.9           	lowerWall	9.542632e-01	1.103613e+02	3.142952e+01
5.95          	rightWall	5.587138e-01	4.397776e+01	1.408716e+01
5.95          	leftWall	1.897128e-01	2.747525e+01	8.168098e+00
5.95          	lowerWall	5.815310e-01	1.077047e+02	3.206170e+01
6             	rightWall	5.373642e-01	4.361446e+01	1.382337e+01
6             	leftWall	1.901448e-01	2.745190e+01	8.207049e+00
6             	lowerWall	1.063578e+00	1.083434e+02	3.278224e+01
6.05          	rightWall	5.254615e-01	4.325046e+01	1.358684e+01
6.05          	leftWall	2.106025e-01	2.736380e+01	8.267365e+00
6.05          	lowerWall	1.323276e+00	1.098689e+02	3.331469e+01
6.1           	rightWall	3.599115e-01	4.290065e+01	1.318286e+01
6.1           	leftWall	2.738834e-01	2.742833e+01	8.512486e+00
6.1           	lowerWall	1.322986e+00	1.077076e+02	3.390738e+01
6.15          	rightWall	1.223860e-01	4.248215e+01	1.286548e+01
6.15          	leftWall	3.011676e-01	2.748048e+01	8.613390e+00
6.15          	lowerWall	1.231509e+00	1.084124e+02	3.410511e+01
6.2           	rightWall	1.462918e-01	4.202193e+01	1.252176e+01
6.2           	leftWall	5.409769e-01	2.748110e+01	8.889864e+00
6.2           	lowerWall	5.723069e-01	1.083362e+02	3.417861e+01
6.25          	rightWall	2.743976e-01	4.156230e+01	1.222174e+01
6.25          	leftWall	7.487575e-01	2.770266e+01	9.113104e+00
6.25          	lowerWall	1.299781e+00	1.085608e+02	3.414240e+01
6.3           	rightWall	2.268946e-01	4.105027e+01	1.191555e+01
6.3           	leftWall	8.487665e-01	2.787267e+01	9.415302e+00
6.3           	lowerWall	1.275642e+00	1.086870e+02	3.409971e+01
6.35          	rightWall	3.408879e-01	4.049397e+01	1.161856e+01
6.35          	leftWall	9.233717e-01	2.817058e+01	9.692536e+00
6.35          	lowerWall	1.351976e+00	1.105649e+02	3.395064e+01
6.4           	rightWall	4.262115e-01	3.986946e+01	1.126628e+01
6.4           	leftWall	1.121683e+00	2.851398e+01	9.978934e+00
6.4           	lowerWall	1.553204e+00	1.130643e+02	3.384297e+01
6.45          	rightWall	6.666401e-01	3.919664e+01	1.095601e+01
6.45          	leftWall	1.282332e+00	2.900237e+01	1.027113e+01
6.45          	lowerWall	1.513616e+00	1.134935e+02	3.376361e+01
6.5           	rightWall	7.704731e-01	3.846581e+01	1.062245e+01
6.5           	leftWall	1.298946e+00	2.952351e+01	1.066378e+01
